threshold_25,threshold_50,threshold_75,accuracy,avg_flops_giga,exit_25_rate,exit_50_rate,exit_75_rate,dense_rate,exit_25_acc,exit_50_acc,exit_75_acc,dense_exit_acc,pareto_optimal
0.6,0.95,0.5,0.79,0.839102,0.7622,0.0704,0.1338,0.0336,0.844398,0.809659,0.565022,0.410714,False
0.7,0.6,0.7,0.79,0.812231,0.6886,0.2334,0.043,0.035,0.877432,0.641817,0.525581,0.382857,False
0.8,0.6,0.4,0.79,0.848506,0.6118,0.2986,0.0794,0.0102,0.907159,0.654387,0.445844,0.411765,False
0.95,0.4,0.95,0.79,0.952182,0.418,0.5476,0.0064,0.028,0.962679,0.677867,0.78125,0.407143,False
0.7,0.6,0.8,0.7898,0.822162,0.6886,0.2334,0.0338,0.0442,0.877432,0.641817,0.568047,0.375566,False
0.95,0.5,0.3,0.7898,0.953937,0.418,0.5158,0.0626,0.0036,0.962679,0.698333,0.415335,0.333333,False
0.6,0.8,0.9,0.7896,0.839833,0.7622,0.1248,0.0342,0.0788,0.844398,0.692308,0.707602,0.449239,False
0.7,0.6,0.6,0.7896,0.804891,0.6886,0.2334,0.0498,0.0282,0.877432,0.641817,0.506024,0.368794,True
0.9,0.4,0.6,0.7896,0.87532,0.502,0.4652,0.0212,0.0116,0.948606,0.645744,0.45283,0.293103,False
0.95,0.4,0.8,0.7896,0.943978,0.418,0.5476,0.014,0.0204,0.962679,0.677867,0.6,0.372549,False
0.6,0.8,0.8,0.7894,0.823426,0.7622,0.1248,0.0494,0.0636,0.844398,0.692308,0.639676,0.437107,False
0.8,0.6,0.3,0.7894,0.842029,0.6118,0.2986,0.0854,0.0042,0.907159,0.654387,0.435597,0.428571,False
0.6,0.8,0.6,0.7892,0.797088,0.7622,0.1248,0.0738,0.0392,0.844398,0.692308,0.571816,0.433673,True
0.6,0.8,0.7,0.7892,0.80853,0.7622,0.1248,0.0632,0.0498,0.844398,0.692308,0.582278,0.449799,False
0.8,0.5,0.9,0.789,0.852009,0.6118,0.333,0.0136,0.0416,0.907159,0.627027,0.602941,0.408654,False
0.9,0.4,0.5,0.789,0.871434,0.502,0.4652,0.0248,0.008,0.948606,0.645744,0.419355,0.25,False
0.6,0.8,0.95,0.7888,0.853433,0.7622,0.1248,0.0216,0.0914,0.844398,0.692308,0.777778,0.459519,False
0.9,0.4,0.4,0.7888,0.86798,0.502,0.4652,0.028,0.0048,0.948606,0.645744,0.378571,0.333333,False
0.95,0.4,0.7,0.7888,0.938581,0.418,0.5476,0.019,0.0154,0.962679,0.677867,0.505263,0.363636,False
0.6,0.9,0.5,0.7886,0.811815,0.7622,0.0964,0.1118,0.0296,0.844398,0.73444,0.554562,0.412162,False
0.7,0.6,0.5,0.7884,0.794745,0.6886,0.2334,0.0592,0.0188,0.877432,0.641817,0.462838,0.37234,True
0.8,0.5,0.8,0.7884,0.842079,0.6118,0.333,0.0228,0.0324,0.907159,0.627027,0.526316,0.388889,False
0.8,0.5,0.95,0.7882,0.857838,0.6118,0.333,0.0082,0.047,0.907159,0.627027,0.658537,0.404255,False
0.8,0.5,0.7,0.788,0.835386,0.6118,0.333,0.029,0.0262,0.907159,0.627027,0.489655,0.381679,False
0.9,0.4,0.3,0.788,0.864958,0.502,0.4652,0.0308,0.002,0.948606,0.645744,0.363636,0.1,False
0.95,0.4,0.6,0.788,0.93448,0.418,0.5476,0.0228,0.0116,0.962679,0.677867,0.482456,0.293103,False
0.6,0.95,0.4,0.7876,0.82032,0.7622,0.0704,0.1512,0.0162,0.844398,0.809659,0.531746,0.407407,False
0.95,0.4,0.5,0.7874,0.930594,0.418,0.5476,0.0264,0.008,0.962679,0.677867,0.44697,0.25,False
0.7,0.6,0.4,0.7872,0.784598,0.6886,0.2334,0.0686,0.0094,0.877432,0.641817,0.425656,0.425532,True
0.9,0.3,0.9,0.7872,0.854884,0.502,0.4854,0.0034,0.0092,0.948606,0.629584,0.647059,0.347826,False
0.95,0.4,0.4,0.7872,0.92714,0.418,0.5476,0.0296,0.0048,0.962679,0.677867,0.405405,0.333333,False
0.9,0.3,0.8,0.787,0.852294,0.502,0.4854,0.0058,0.0068,0.948606,0.629584,0.551724,0.294118,False
0.9,0.3,0.95,0.787,0.856611,0.502,0.4854,0.0018,0.0108,0.948606,0.629584,0.666667,0.37037,False
